,frequency
The,3
next,1
place,2
I,4
m,1
writing,1
about,1
is,6
Wellington,4
no,2
it,2
not,1
the,10
you,1
re,1
thinking,1
of,5
This,2
in,4
Southern,2
Indian,2
state,1
Tamil,1
nadu,1
My,1
father,1
was,1
here,5
for,2
his,1
Staff,2
College,2
Course,1
at,1
Defence,1
Services,1
too,1
served,1
as,1
a,7
jump,1
point,1
visit,1
several,1
cities,1
like,2
Mysore,1
Chennai,1
Madras,1
and,3
hill,2
station,1
Oooty,1
just,2
stones,1
throw,1
away,1
from,2
There,1
are,1
two,2
ways,1
to,5
get,1
One,1
take,2
bus,1
nearest,1
Railhead,1
Coimbatore,1
other,1
toy,1
train,2
joking,1
s,1
actually,1
metre,1
gauge,1
which,1
has,1
third,1
rail,1
between,1
tracks,1
provide,1
traction,1
while,1
climbing,1
steep,1
sides,1
again,1
very,2
Picturesque,1
location,1
did,1
Class,2
1,2
half,1
2,1
we,1
had,1
stayed,1
only,1
year,2
studied,1
school,1
called,1
Holy,1
Angels,1
stay,1
1985,1
Last,1
words,1
A,1
sleepy,1
town,1
absolutely,1
crime,1
ideal,1
retirement,1
home,1
could,1
live,1
50,1
years,1
time,1
