,frequency
Smite,1
on,4
urlLink,2
God,5
Considers,1
Smiting,1
Bible,6
Pirates,1
Vatican,1
City,1
did,1
not,2
rule,1
out,2
smiting,1
as,1
a,3
final,1
measure,1
against,1
those,2
who,2
share,1
his,1
most,2
famous,2
work,3
the,14
Internet,1
This,1
marks,1
first,1
time,1
deity,1
has,1
spoken,1
IT,1
related,1
questions,1
since,1
Steve,1
Jobs,1
was,1
temporarily,1
Enlightened,1
when,1
touching,1
One,1
True,1
iMac,1
some,1
years,2
ago,1
Authorized,1
Version,1
Citing,1
misuse,1
of,5
His,1
word,1
misquotation,1
and,4
putting,1
hardworking,1
printers,1
said,4
he,1
would,1
now,1
start,1
hunting,1
pirating,2
around,1
globe,1
I,5
have,1
to,2
defend,1
both,1
my,1
world,1
brand,1
its,1
distinctive,1
likenesses,1
livelihood,1
create,1
distribute,1
legal,1
copies,1
it,1
Sure,1
they,1
live,1
by,2
bread,1
alone,1
but,2
website,2
hits,1
someone,1
else,1
s,3
mind,1
you,1
don,1
t,1
pay,1
bills,1
for,1
these,1
folks,1
Since,1
large,1
portions,1
are,2
many,2
centuries,1
old,1
people,1
believe,1
be,2
in,1
public,1
domain,1
Not,1
so,1
Look,1
copyright,1
laws,1
based,1
something,1
like,1
author,1
lifetime,1
plus,1
let,1
say,1
15,1
News,1
flash,1
m,1
still,1
here,1
am,2
jealous,1
He,1
no,2
means,1
unreasonable,1
If,1
person,1
will,2
stop,1
distributing,1
My,1
copyrighted,1
materials,1
there,1
further,1
consequences,1
Like,1
ve,1
before,1
hate,1
love,1
pirate,1
Link,1
