,frequency
My,1
first,1
post,1
to,4
my,3
blog,1
Those,1
Paki,1
s,1
Pakistanis,1
ought,1
be,2
fried,1
in,5
hot,1
oil,1
maybe,1
even,1
roasted,1
the,10
warm,1
glow,1
of,8
Nuclear,1
radiation,1
In,1
brief,1
rant,1
is,8
as,1
follows,1
Pakistan,1
a,11
country,3
with,1
delusions,1
grandeur,1
claims,1
that,5
Kashmir,1
part,2
their,3
when,2
actually,1
it,3
mine,1
Their,1
The,2
Pakis,1
has,2
been,1
breeding,2
ground,2
for,4
terrorists,2
like,1
piece,1
rotten,1
wood,1
Fungus,1
I,1
believe,1
Western,1
media,1
still,1
not,2
emerged,1
from,2
cold,1
war,1
mindset,1
shown,1
by,1
fact,1
whatever,2
India,1
does,1
Human,2
rights,2
violation,2
and,3
do,1
are,2
legitimate,1
acts,1
towards,1
freedom,1
Also,1
seen,1
attitude,1
Chechnya,1
When,1
Russians,1
bombed,1
place,1
oblivion,1
was,2
gross,1
Americans,1
rest,1
did,1
same,1
Yugoslavia,1
fight,1
good,1
mankind,1
certainly,1
Yugoslavians,1
Do,1
hungry,1
people,1
favour,1
click,1
on,2
this,1
link,1
urlLink,2
Hunger,1
Site,1
Have,1
decided,1
implement,1
new,1
navigation,1
system,1
website,1
which,1
located,1
at,1
http,1
india,1
4mg,1
com,1
Free,1
traffic,1
welcome,1
anytime,1
Will,1
posting,1
once,1
day,1
now,1
all,1
Ramblings,1
Rants,1
copyright,1
me,1
i,1
e,1
Chirag,1
Patnaik,1
