,frequency
Hello,1
ppl,1
This,2
is,7
a,12
brand,2
new,2
day,2
when,1
isn,1
t,4
it,5
not,3
very,3
original,1
I,10
admit,1
Whoopie,1
Goldberg,1
in,4
Sister,1
Act,1
2,1
but,2
anyhow,1
If,4
you,4
ve,1
heard,1
about,3
the,12
recent,2
Massacare,1
Kashmir,1
my,1
Pakistani,1
terrorists,1
and,5
feel,2
outraged,1
please,3
drop,2
line,2
to,12
your,1
respective,1
head,1
of,4
state,1
also,2
free,2
me,3
at,4
webmaster,1
india,1
4mg,1
com,5
Personally,1
think,1
we,2
should,1
retaliate,1
kind,2
10,1
for,11
every,1
one,4
ours,1
fair,1
enough,1
that,3
does,2
stop,1
100,1
even,1
fairer,1
have,4
some,1
smart,1
alec,1
who,2
says,1
an,6
eye,5
will,1
make,1
world,2
go,2
blind,3
don,2
mean,2
two,1
eyes,1
are,2
already,1
half,1
lets,1
them,1
altogether,1
A,2
full,1
fledged,1
Pentium,1
capable,1
PC,1
can,1
be,2
made,1
under,1
200,1
using,1
netappliance,1
called,2
i,1
opener,1
by,2
netpliance,1
corp,1
device,1
originally,1
runs,2
Real,1
Time,1
OS,2
QNX,2
Those,1
know,3
what,1
real,1
time,2
visit,2
website,2
see,2
their,1
demo,1
www,3
qnx,1
Just,1
how,2
do,3
u,1
this,3
amazing,1
thing,1
linux,1
hacker,1
net,2
iopener,1
more,2
details,2
Don,1
worry,1
machine,1
run,1
exclusively,1
Linux,1
as,2
indicates,1
It,1
others,1
too,2
Windows,1
BeOS,2
By,1
way,3
if,1
anybody,1
has,1
CD,1
The,1
old,1
lying,1
could,1
take,1
expense,1
send,1
d,3
grateful,1
Email,1
cpatnaik,1
email,2
anti,1
establishment,1
may,1
want,1
2600,2
news,2
1999,1
1112,1
html,1
lowdown,1
on,2
DeCSS,1
looking,1
mirrors,1
deCSS,1
yep,1
s,1
DVD,1
ripper,1
Though,1
fail,1
encryption,1
would,1
prevented,1
piracy,1
needs,1
only,1
copy,1
disc,1
In,1
other,1
Billionaire,1
wants,1
start,1
Univ,1
read,1
all,1
wired,1
long,1
entry,1
guessed,1
was,1
done,1
offline,2
What,1
Web,1
expensive,1
part,1
Cheerio,1
really,1
am,1
hoping,1
they,2
devise,1
update,1
while,1
re,1
client,1
totally,1
contrary,1
spirit,1
blog,1
no,1
harm,1
wishing,1
