,frequency
The,5
next,1
city,7
in,11
the,29
current,1
series,1
is,14
Allahabad,2
This,1
lies,1
on,1
confluence,1
of,16
three,1
rivers,3
Ganges,1
Yamuna,1
and,12
Saraswati,2
However,1
if,1
you,3
pick,1
up,1
Atlas,1
ll,1
see,2
that,7
there,4
are,1
only,1
two,1
What,1
about,2
third,1
river,2
Well,1
it,9
mythological,1
Yes,1
s,5
right,1
Mythological,1
reputed,1
flowed,1
due,2
to,20
some,2
event,1
I,6
don,1
t,1
remember,1
what,1
went,1
underground,1
out,2
shame,2
India,3
have,3
been,2
personified,1
how,1
factor,1
comes,1
into,1
picture,1
Anyway,1
back,3
A,2
nice,1
live,1
did,1
my,1
class,1
sixth,1
seventh,1
here,5
different,1
schools,1
namely,1
St,1
Joseph,1
College,1
Kendriya,2
Vidyalaya,1
Manauri,1
After,1
this,9
ve,2
always,1
studied,1
Vidyalayas,1
Central,1
Schools,1
Hindi,1
Amazingly,1
nothing,2
very,2
remarkable,1
as,2
far,1
modern,2
times,1
go,2
But,2
steeped,1
Indian,1
Mythology,1
Lord,1
Ram,1
said,4
during,3
his,1
14,1
years,1
forced,1
exile,1
Another,1
feature,1
place,3
roots,1
a,6
Banyan,2
tree,3
which,2
gives,1
leaves,1
got,1
believe,1
same,1
be,2
several,1
Millenia,1
old,2
British,1
even,1
tried,2
set,1
afire,1
plain,1
Malice,1
so,1
we,1
d,1
lose,1
part,2
our,1
heritage,1
but,2
survived,1
one,3
largest,1
trees,1
There,2
also,2
tunnel,2
all,1
way,1
from,1
Delhi,1
People,1
follow,1
ends,1
rockfall,1
distance,1
inside,1
was,6
infamous,2
Babri,1
Masjid,1
Mosque,2
Demolition,1
That,1
shameful,1
aspect,1
history,1
when,1
bunch,1
Hooligans,1
decided,1
break,1
down,2
lot,2
tension,1
because,4
demolition,1
Army,1
had,1
do,1
Flag,1
Marches,1
like,1
certain,1
localities,1
calm,1
things,1
bit,1
Anti,1
Mandal,2
Commision,1
riots,2
took,2
provision,1
for,4
reservation,1
Backward,1
classes,1
Government,1
jobs,1
other,1
government,1
owned,1
operated,1
institutions,1
heartburn,1
country,1
man,2
who,2
responsible,1
amazing,1
alive,1
hopes,1
enter,1
active,1
politics,1
again,2
To,1
dispel,1
any,1
confusion,1
not,1
Mr,1
Prime,1
Minister,1
VP,1
singh,1
actually,1
implemented,1
commision,1
report,1
thus,1
reviled,1
reason,1
probably,1
will,1
never,1
want,1
come,2
simply,1
