,frequency
urlLink,1
Robert,1
Heinlein,1
An,1
artist,3
can,5
look,3
at,3
a,2
pretty,3
girl,5
and,3
see,3
the,6
old,3
woman,3
she,4
will,1
become,1
A,2
better,1
an,3
used,2
to,3
be,2
great,1
portray,1
her,3
exactly,1
as,1
is,2
force,1
viewer,1
se,1
more,1
than,2
that,3
he,1
make,2
anyone,1
with,1
sensitivity,1
of,1
armadillo,1
this,1
lovely,1
young,1
still,1
alive,1
prisoned,1
inside,1
ruined,1
body,1
He,1
you,1
feel,1
quiet,1
endless,1
tragedy,1
there,1
was,1
never,1
born,1
who,1
ever,1
grew,1
older,1
eighteen,1
in,1
heart,1
