,word,stem
0,Update,updat
1,urlLink,urllink
2,previous,previou
3,post,post
4,OpenBSD,openbsd
5,2,2
6,9,9
7,released,releas
8,My,My
9,server,server
10,home,home
11,servers,server
12,work,work
13,using,use
14,So,So
15,far,far
16,I,I
17,noticed,notic
18,much,much
19,change,chang
20,guess,guess
21,working,work
22,well,well
23,8,8
24,get,get
25,better,better
26,Most,most
27,people,peopl
28,say,say
29,greatest,greatest
30,use,use
31,soft,soft
32,updates,updat
33,FFS,ff
34,filesystem,filesystem
35,Nothing,noth
36,terribly,terribl
37,IO,IO
38,intensive,intens
39,changes,chang
