,word,stem
0,urlLink,urllink
1,No,No
2,Thought,thought
3,Day,day
4,The,the
5,mystery,mysteri
6,never,never
7,ends,end
8,cannot,cannot
9,end,end
10,Thats,that
11,called,call
12,known,known
13,ever,ever
14,It,It
15,become,becom
16,knowledge,knowledg
17,thats,that
18,something,someth
19,eternally,etern
20,elusive,elus
21,And,and
22,whole,whole
23,joy,joy
24,life,life
25,great,great
26,splendor,splendor
27,keeps,keep
28,engaged,engag
29,searching,search
30,exploring,explor
31,Life,life
32,exploration,explor
33,adventure,adventur
