,word,stem
0,shrimp,shrimp
1,louie,louie
2,salad,salad
3,12,12
4,carbs,carb
5,black,black
6,olives,oliv
7,9,9
8,protein,protein
9,bar,bar
10,3,3
11,smart,smart
12,water,water
13,0,0
14,big,big
15,juicy,juici
16,steak,steak
17,cups,cup
18,zuchinni,zuchinni
19,w,w
20,little,littl
21,onion,onion
22,15,15
23,half,half
24,cucumber,cucumb
25,4,4
26,fiber,fiber
27,bad,bad
28,plus,plu
29,2,2
30,booster,booster
31,pills,pill
32,cayanne,cayann
33,greentea,greentea
34,leaf,leaf
35,etc,etc
36,I,I
37,officially,offici
38,weighed,weigh
39,yet,yet
40,gym,gym
41,tommorrow,tommorrow
