,word,stem
0,My,My
1,brain,brain
2,triggered,trigger
3,wake,wake
4,I,I
5,hear,hear
6,diesel,diesel
7,engine,engin
8,idling,idl
9,outside,outsid
10,window,window
11,Why,whi
12,Well,well
13,back,back
14,senior,senior
15,year,year
16,sharing,share
17,parking,park
18,permit,permit
19,roommate,roommat
20,almost,almost
21,towed,tow
22,twice,twice
23,apartment,apart
24,lot,lot
25,without,without
26,heard,heard
27,tow,tow
28,truck,truck
29,woke,woke
30,Anyway,anyway
31,morning,morn
32,around,around
33,7,7
34,AM,AM
35,thus,thu
