,word,stem
0,Can,can
1,urlLink,urllink
2,weather,weather
3,sort,sort
4,I,I
5,sure,sure
6,already,alreadi
7,2,2
8,heat,heat
9,waves,wave
10,point,point
11,last,last
12,year,year
13,look,look
14,window,window
15,yet,yet
16,another,anoth
17,grey,grey
18,day,day
19,mind,mind
20,free,free
21,weekend,weekend
22,want,want
23,enjoying,enjoy
24,Yesterday,yesterday
25,wrote,wrote
26,thank,thank
27,cards,card
28,Kirsten,kirsten
29,worked,work
30,garden,garden
31,bottled,bottl
32,latest,latest
33,batch,batch
34,beer,beer
35,In,In
36,evening,even
37,Anna,anna
38,Jon,jon
39,came,came
40,around,around
41,dinner,dinner
42,made,made
43,lasagne,lasagn
44,first,first
45,time,time
46,good,good
47,fun,fun
48,feeling,feel
49,great,great
50,exhausted,exhaust
51,bed,bed
52,This,thi
53,morning,morn
54,K,K
55,felt,felt
56,ill,ill
57,stayed,stay
58,stewarding,steward
59,church,church
60,usual,usual
61,put,put
62,car,car
63,parking,park
64,We,We
65,messed,mess
66,giving,give
67,buckets,bucket
68,offering,offer
69,ok,ok
70,After,after
71,dropped,drop
72,firewood,firewood
73,Liz,liz
74,keys,key
75,saw,saw
76,paddy,paddi
77,back,back
78,door,door
79,left,left
80,wood,wood
81,feel,feel
82,Might,might
83,join,join
84,sick,sick
