,word,stem
0,urlLink,urllink
1,Neverwinter,neverwint
2,Nights,night
3,A,A
4,friend,friend
5,girlfriend,girlfriend
6,roommate,roommat
7,bought,bought
8,copies,copi
9,first,first
10,day,day
11,Thankfully,thank
12,I,I
13,got,got
14,play,play
15,hour,hour
16,yesterday,yesterday
17,The,the
18,single,singl
19,player,player
20,mode,mode
21,bit,bit
22,dry,dri
23,far,far
24,played,play
25,really,realli
26,decide,decid
27,whether,whether
28,like,like
29,interface,interfac
30,clunky,clunki
31,due,due
32,Sims,sim
33,esque,esqu
34,circular,circular
35,navigation,navig
36,If,If
37,either,either
38,games,game
39,starts,start
40,clicking,click
41,object,object
42,right,right
43,NWN,nwn
44,click,click
45,brings,bring
46,icons,icon
47,pattern,pattern
48,around,around
49,whatever,whatev
50,clicked,click
51,You,you
52,required,requir
53,one,one
54,level,level
55,new,new
56,set,set
57,pops,pop
58,selection,select
59,made,made
60,Belanger,belang
61,discussed,discuss
62,merits,merit
63,game,game
64,decided,decid
65,multiplayer,multiplay
66,DM,DM
67,isolated,isol
68,server,server
69,shine,shine
70,People,peopl
71,going,go
72,start,start
73,making,make
74,modules,modul
75,soon,soon
76,This,thi
77,could,could
78,next,next
79,Counterstrike,counterstrik
