,word,stem
0,urlLink,urllink
1,The,the
2,Flag,flag
3,Flap,flap
4,Is,Is
5,American,american
6,flag,flag
7,battle,battl
8,emblem,emblem
9,U,U
10,S,S
11,government,govern
12,supposed,suppos
13,sacred,sacr
14,Are,are
15,make,make
16,religion,religion
17,statolatry,statolatri
18,What,what
19,sort,sort
20,grotesque,grotesqu
21,burning,burn
22,banned,ban
23,clap,clap
24,numerous,numer
25,Legion,legion
26,VFW,vfw
27,people,peopl
28,hoosegow,hoosegow
29,Oh,Oh
30,say,say
31,intent,intent
32,crucial,crucial
33,point,point
34,want,want
35,outlaw,outlaw
36,hippie,hippi
37,types,type
38,burn,burn
39,flags,flag
40,sneer,sneer
41,curse,curs
42,But,but
43,police,polic
44,figure,figur
45,sure,sure
46,majesty,majesti
47,law,law
48,falls,fall
49,upon,upon
50,sneerers,sneerer
51,spares,spare
52,reverent,rever
53,saluting,salut
54,Legionnaires,legionnair
55,via,via
56,Fuck,fuck
57,That,that
58,cannot,cannot
59,simply,simpli
60,burned,burn
61,order,order
62,cast,cast
63,evil,evil
64,spirits,spirit
65,No,No
66,They,they
67,must,must
68,take,take
69,Hall,hall
70,There,there
71,arrange,arrang
72,ceremony,ceremoni
73,complete,complet
74,uniforms,uniform
75,guns,gun
76,bugler,bugler
77,play,play
78,taps,tap
79,chaplain,chaplain
80,altar,altar
81,pentagram,pentagram
82,virgin,virgin
83,girl,girl
84,scout,scout
85,sacrifice,sacrific
86,ownership,ownership
87,display,display
88,implies,impli
89,lot,lot
90,silly,silli
91,assed,ass
92,rules,rule
93,ceremonies,ceremoni
94,seems,seem
