,word,lemma
0,urlLink,urllink
1,The,the
2,Case,case
3,Missing,miss
4,H,H
5,Bomb,bomb
6,What,what
7,truly,truli
8,chilling,chill
9,fact,fact
10,Pentagon,pentagon
11,lost,lost
12,track,track
13,mother,mother
14,weapons,weapon
15,hydrogen,hydrogen
16,bomb,bomb
17,thermonuclear,thermonuclear
18,weapon,weapon
19,designed,design
20,incinerate,inciner
21,Moscow,moscow
22,sitting,sit
23,somewhere,somewher
24,coast,coast
25,Savannah,savannah
26,Georgia,georgia
27,past,past
28,40,40
29,years,year
30,Air,air
31,Force,forc
32,gone,gone
33,greater,greater
34,lengths,length
35,conceal,conceal
36,mishap,mishap
37,locate,locat
38,secure,secur
