,word,stem
0,urlLink,urllink
1,As,As
2,Worm,worm
3,Turns,turn
4,Stern,stern
5,Sully,sulli
6,Bush,bush
7,Backlash,backlash
8,Has,ha
9,anyone,anyon
10,else,els
11,noticed,notic
12,last,last
13,week,week
14,since,sinc
15,show,show
16,suspended,suspend
17,guests,guest
18,Coast,coast
19,To,To
20,AM,AM
21,Clear,clear
22,Channel,channel
23,program,program
24,become,becom
25,openly,openli
26,critical,critic
27,government,govern
28,Maybe,mayb
29,I,I
30,seeing,see
31,something,someth
32,happens,happen
33,lot,lot
34,maybe,mayb
35,George,georg
36,Noory,noori
37,Art,art
38,Bell,bell
39,crossed,cross
40,camp,camp
41,decided,decid
42,stop,stop
43,playing,play
44,nice,nice
45,masters,master
46,The,the
47,Outer,outer
48,Limits,limit
49,A,A
50,Lone,lone
51,Voice,voic
52,Desert,desert
53,Lures,lure
54,10,10
55,Million,million
56,Listeners,listen
57,dressed,dress
58,entirely,entir
59,black,black
60,talks,talk
61,vision,vision
62,future,futur
63,voice,voic
64,darkens,darken
65,scrunches,scrunch
66,face,face
67,skin,skin
68,bulges,bulg
69,tight,tight
70,horizontal,horizont
71,folds,fold
72,In,In
73,living,live
74,room,room
75,Weather,weather
76,monitors,monitor
77,physical,physic
78,world,world
79,Suddenly,suddenli
80,screen,screen
81,goes,goe
82,dark,dark
83,Every,everi
84,light,light
85,house,hous
86,flickers,flicker
87,skies,sky
88,outside,outsid
89,clear,clear
90,See,see
91,shouts,shout
92,nervously,nervous
93,picks,pick
94,pack,pack
95,Carltons,carlton
96,That,that
97,deal,deal
