,word,lemma
0,PRINCESS,princess
1,Sometimes,sometim
2,sweep,sweep
3,pages,page
4,nothingness,nothing
5,eight,eight
6,ball,ball
7,corner,corner
8,pocket,pocket
9,stuffed,stuf
10,short,short
11,attention,attent
12,span,span
13,present,present
14,details,detail
15,The,the
16,past,past
17,ruffles,ruffl
18,feathers,feather
19,girl,girl
20,lifetime,lifetim
21,still,still
22,boxes,box
23,filled,fill
24,collections,collect
25,bought,bought
26,Dreams,dream
27,may,may
28,come,come
29,call,call
30,names,name
31,darkness,dark
32,like,like
33,memory,memori
34,cares,care
35,enough,enough
36,answer,answer
37,She,she
38,asks,ask
39,true,true
40,love,love
41,real,real
42,stars,star
43,bright,bright
44,planetary,planetari
45,nebulae,nebula
46,fuel,fuel
47,burns,burn
48,tell,tell
49,us,us
50,something,someth
51,origins,origin
52,All,all
53,remembered,rememb
54,sudden,sudden
55,dissapoint,dissapoint
56,ment,ment
57,gravity,graviti
58,single,singl
59,misplaced,misplac
60,thought,thought
61,found,found
62,searching,search
63,pea,pea
64,matress,matress
