,word,lemma
0,Dopey,dopey
1,Sleepy,sleepi
2,Bashful,bash
3,Happy,happi
4,Sneezy,sneezi
5,Grumpy,grumpi
6,Doc,doc
7,Which,which
8,one,one
9,seven,seven
10,miss,miss
11,carry,carri
12,side,side
13,leave,leav
14,behind,behind
15,completely,complet
16,After,after
17,never,never
18,hear,hear
19,happened,happen
20,married,marri
21,prince,princ
22,struggle,struggl
23,produce,produc
24,male,male
25,heir,heir
26,day,day
27,cheeks,cheek
28,became,becam
29,little,littl
30,less,less
31,rosy,rosi
32,bluebird,bluebird
33,finally,final
34,died,die
35,Who,who
36,would,would
37,told,told
38,laying,lay
39,golden,golden
40,eggs,egg
41,goose,goos
42,roasted,roast
43,splayed,splay
44,table,tabl
45,stuffing,stuf
46,dribbling,dribbl
47,body,bodi
48,cavities,caviti
49,stopped,stop
50,coming,come
51,What,what
52,magic,magic
53,mirror,mirror
54,ovaries,ovari
55,tell,tell
56,everything,everyth
57,knew,knew
58,fairy,fairi
59,tale,tale
60,And,and
61,rescue,rescu
62,part,part
63,happily,happili
64,ever,ever
65,something,someth
66,could,could
67,done,done
68,end,end
