,word,stem
0,urlLink,urllink
1,The,the
2,Strange,strang
3,Attractors,attractor
4,two,two
5,events,event
6,capture,captur
7,disclosure,disclosur
8,identity,ident
9,Washington,washington
10,D,D
11,C,C
12,area,area
13,sniper,sniper
14,attempted,attempt
15,destruction,destruct
16,via,via
17,hacking,hack
18,Internet,internet
19,Most,most
20,us,us
21,busy,busi
22,following,follow
23,first,first
24,barely,bare
25,noticed,notic
26,second,second
27,But,but
28,pay,pay
29,close,close
30,attention,attent
31,intimately,intim
32,connected,connect
33,combined,combin
34,implications,implic
35,terrifying,terrifi
