,word,stem
0,saturday,saturday
1,night,night
2,sally,salli
3,getting,get
4,ready,readi
5,go,go
6,shawns,shawn
7,house,hous
8,drink,drink
9,play,play
10,pool,pool
11,less,less
12,get,get
13,intoxicated,intox
14,begining,begin
15,feel,feel
16,like,like
17,alchoholic,alchohol
18,none,none
19,last,last
20,went,went
21,ypsi,ypsi
22,partied,parti
23,sallys,salli
24,sister,sister
25,stephy,stephi
26,hmmm,hmmm
27,really,realli
28,good,good
29,time,time
30,ended,end
31,going,go
32,frat,frat
33,friends,friend
34,party,parti
35,pretty,pretti
36,drunk,drunk
37,heh,heh
38,woke,woke
39,morning,morn
40,stayed,stay
41,fact,fact
42,decided,decid
43,would,would
44,buddy,buddi
45,kewons,kewon
46,look,look
47,pit,pit
48,puppy,puppi
49,wants,want
50,sell,sell
51,beautiful,beauti
52,offered,offer
53,condo,condo
54,owns,own
55,blah,blah
56,interesting,interest
57,day,day
58,yeah,yeah
59,think,think
60,gonna,gonna
61,btw,btw
62,posted,post
63,pictures,pictur
64,florida,florida
65,added,ad
66,page,page
67,check,check
68,right,right
69,urlLink,urllink
