,word,stem
0,I,I
1,burned,burn
2,9,9
3,CDs,cd
4,day,day
5,one,one
6,friend,friend
7,It,It
8,took,took
9,6,6
10,hours,hour
11,since,sinc
12,kept,kept
13,getting,get
14,random,random
15,errors,error
16,testing,test
17,phase,phase
18,Eventually,eventu
19,figured,figur
20,problems,problem
21,wrote,wrote
22,titles,titl
23,Turns,turn
24,pen,pen
25,used,use
26,sharp,sharp
27,tore,tore
28,coating,coat
29,front,front
30,CD,CD
31,The,the
32,lasers,laser
33,read,read
34,shine,shine
35,right,right
36,ruined,ruin
37,Note,note
38,others,other
39,use,use
40,paint,paint
41,pens,pen
42,write,write
43,Rs,Rs
