,word,stem
0,When,when
1,Moment,moment
2,Strikes,strike
3,Suddenly,suddenli
4,lifted,lift
5,fog,fog
6,around,around
7,inside,insid
8,Almost,almost
9,without,without
10,warning,warn
11,picture,pictur
12,sharpens,sharpen
13,even,even
14,name,name
15,badges,badg
16,carry,carri
17,hidden,hidden
18,meaning,mean
19,The,the
20,words,word
21,come,come
22,flushed,flush
23,heart,heart
24,beat,beat
25,truth,truth
26,utter,utter
27,practicing,practic
28,real,real
29,job,job
30,yet,yet
31,sits,sit
32,close,close
33,edge,edg
34,river,river
35,dangling,dangl
36,toes,toe
37,water,water
