,word,stem
0,Things,thing
1,finally,final
2,falling,fall
3,place,place
4,I,I
5,sucessfully,sucess
6,signed,sign
7,electricity,electr
8,cable,cabl
9,phone,phone
10,DSL,dsl
11,new,new
12,apartment,apart
13,Ameritech,ameritech
14,bunch,bunch
15,asshats,asshat
16,A,A
17,simple,simpl
18,activation,activ
19,took,took
20,hour,hour
21,longer,longer
22,expected,expect
23,Let,let
24,hope,hope
25,current,current
26,special,special
27,29,29
28,95,95
29,month,month
30,install,instal
31,fee,fee
32,makes,make
33,asshattery,asshatteri
