,frequency
I,8
not,2
might,1
sure,2
what,2
s,2
going,1
on,1
right,2
now,1
in,1
my,1
life,2
But,1
m,1
about,1
is,4
that,4
getting,1
even,1
more,1
crazy,1
as,1
the,2
day,1
goes,1
by,1
For,1
example,1
last,1
week,1
Jason,3
uncle,2
called,2
me,5
bet,1
your,1
asking,1
yourself,1
why,1
his,2
calling,1
Well,1
he,5
to,2
tell,1
likes,1
know,1
it,1
sounds,1
really,1
strange,1
but,2
thought,1
was,2
joking,1
or,1
something,2
wasn,1
t,2
He,1
also,1
told,1
would,2
never,1
get,1
over,1
has,1
a,1
two,1
year,1
old,1
son,1
and,1
married,2
The,1
worst,1
part,1
past,1
few,1
years,1
can,1
believe,1
do,1
must,1
be,1
blind,1
have,1
noticed,1
anything,1
