,frequency
not,4
too,1
good,2
lets,1
see,1
I,13
took,4
the,3
evening,1
meds,4
at,2
about,4
5,1
30,1
but,3
i,4
ended,1
up,2
eating,1
a,4
big,3
meal,1
9,1
or,2
10,1
did,1
eat,4
lunch,1
had,1
an,2
english,1
cucumber,1
with,1
dressing,1
6,1
carbs,7
when,1
in,3
hour,1
two,1
was,1
starving,1
so,2
ate,1
3,1
4,2
cup,1
of,3
cottage,1
cheese,1
7,1
hunk,1
o,1
mozzarella,1
and,3
bowl,1
kale,1
soup,1
17,1
total,1
for,1
day,2
less,2
than,3
40,2
most,1
them,2
more,1
t,3
hours,2
after,3
my,1
last,1
conclusion,1
are,1
fast,1
acting,1
should,1
right,1
take,1
shouldn,1
9pm,1
maybe,1
even,1
earlier,1
HOWEVER,1
haven,1
eaten,1
thing,1
over,1
8,1
really,2
this,1
is,2
Also,1
yesterday,1
woke,1
feeling,1
light,1
airy,1
Today,1
feel,1
heavy,1
probably,1
500,1
normally,1
AND,1
all,1
three,1
glucophage,1
both,1
glipizid,1
do,1
want,1
to,1
start,1
shootin,1
insulin,1
dammit,1
