,frequency
AND,1
i,3
had,1
a,2
klondike,2
fudggickle,1
less,1
than,1
an,1
hour,1
ago,1
3,1
carbs,1
total,1
im,1
feeling,1
kinda,1
fat,1
tho,1
need,1
to,3
gear,1
up,1
for,1
atkins,1
induction,1
drop,1
some,1
weight,1
am,1
going,1
test,1
and,4
micromanage,1
one,1
month,1
menu,1
before,1
I,1
begin,1
then,1
it,1
should,1
be,1
easy,1
sailin,1
good,1
things,1
tiny,1
lamb,1
roasts,1
saute,1
d,1
in,2
olive,1
oil,1
fresh,1
garlic,1
flap,1
meat,1
marinated,1
soy,1
flame,1
grilled,1
lo,1
carb,1
bars,1
ben,1
j,1
s,1
no,1
sugar,1
added,1
strawberry,1
pork,1
tacos,1
soft,1
with,1
la,1
tortilla,1
factory,1
wheat,1
tillas,1
cukes,1
koolaid,1
