,frequency
okay,1
trying,1
to,7
outsmart,1
this,3
thing,2
I,8
set,1
the,2
alarm,1
for,1
4,1
30,1
am,1
test,1
and,8
take,1
my,7
morning,3
meds,1
early,1
couldnt,1
rouse,1
myslef,1
till,1
five,1
tested,2
on,1
arm,2
at,3
114,1
took,1
only,1
glucophage,1
thinking,1
both,2
might,1
be,2
too,2
much,1
what,1
about,2
breakfast,2
went,1
back,1
sleep,1
woke,1
up,2
9am,1
blood,1
is,2
121,1
shit,1
then,1
i,2
immediately,1
leg,2
which,1
showed,1
130,1
so,1
good,1
news,1
ve,1
been,1
probably,1
testing,3
high,3
since,1
was,1
site,1
of,1
choice,1
supposed,1
from,1
fingers,1
or,1
however,1
cannot,1
seem,1
beat,1
fucking,1
sugar,1
tommorrow,1
will,1
trytaking,1
just,1
hte,1
glipizid,1
next,1
day,1
but,1
now,1
have,1
see,1
if,1
its,1
going,1
scew,1
reaction,1
Had,1
9,1
grams,1
carbs,1
with,1
fiber,1
ceral,1
cream,1
