,word,stem
0,urlLink,urllink
1,Star,star
2,Wars,war
3,Trek,trek
4,Killing,kill
5,Politely,polit
6,One,one
7,envision,envis
8,development,develop
9,electromagnetic,electromagnet
10,energy,energi
11,sources,sourc
12,output,output
13,pulsed,puls
14,shaped,shape
15,focused,focus
16,couple,coupl
17,human,human
18,body,bodi
19,fashion,fashion
20,allow,allow
21,one,one
22,prevent,prevent
23,voluntary,voluntari
24,muscular,muscular
25,movements,movement
26,control,control
27,emotions,emot
28,thus,thu
29,actions,action
30,produce,produc
31,sleep,sleep
32,transmit,transmit
33,suggestions,suggest
34,interfere,interfer
35,short,short
36,term,term
37,long,long
38,memory,memori
39,experience,experi
40,set,set
41,delete,delet
42,It,It
43,would,would
44,also,also
45,appear,appear
46,possible,possibl
47,create,creat
48,high,high
49,fidelity,fidel
50,speech,speech
51,raising,rais
52,possibility,possibl
53,covert,covert
54,suggestion,suggest
55,psychological,psycholog
56,direction,direct
57,If,If
58,pulse,puls
59,stream,stream
60,used,use
61,internal,intern
62,acoustic,acoust
63,field,field
64,5,5
65,15,15
66,kilohertz,kilohertz
67,range,rang
68,audible,audibl
69,Thus,thu
70,may,may
71,talk,talk
72,selected,select
73,adversaries,adversari
74,disturbing,disturb
75,via,via
