,word,stem
0,urlLink,urllink
1,Got,got
2,panties,panti
3,bunch,bunch
4,Apology,apolog
5,Panties,panti
6,come,come
7,enough,enough
8,variety,varieti
9,cover,cover
10,blogging,blog
11,faux,faux
12,pax,pax
13,flame,flame
14,wars,war
15,comment,comment
16,trolling,troll
17,thinly,thinli
18,veiled,veil
19,insults,insult
20,direct,direct
21,linking,link
22,template,templat
23,stealing,steal
24,left,left
25,wing,wing
26,bashing,bash
27,right,right
28,name,name
29,calling,call
30,Via,via
31,Juul,juul
32,Punt,punt
