,word,stem
0,Does,doe
1,advertising,advertis
2,variations,variat
3,across,across
4,year,year
5,question,question
6,asked,ask
7,Of,Of
8,course,cours
9,varies,vari
10,differently,differ
11,different,differ
12,categories,categori
13,As,As
14,broad,broad
15,general,gener
16,statement,statement
17,print,print
18,peaks,peak
19,October,octob
20,immediate,immedi
21,fall,fall
22,November,novemb
23,For,for
24,rest,rest
25,less,less
26,stable,stabl
27,level,level
28,except,except
29,slight,slight
30,dip,dip
31,Feb,feb
32,April,april
33,July,juli
34,also,also
35,fact,fact
36,individual,individu
37,woollens,woollen
38,cars,car
39,computers,comput
40,obvious,obviou
41,reasons,reason
42,Then,then
43,special,special
44,events,event
45,like,like
46,world,world
47,cup,cup
48,would,would
49,bring,bring
50,huge,huge
51,swells,swell
52,spends,spend
53,This,thi
54,last,last
55,showed,show
56,monitored,monitor
57,swell,swell
58,50,50
59,amazing,amaz
60,word,word
61,I,I
62,think,think
