,word,stem
0,urlLink,urllink
1,Agency,agenc
2,Probes,probe
3,D,D
4,C,C
5,Wireless,wireless
6,Network,network
7,A,A
8,Pringles,pringl
9,ideal,ideal
10,shape,shape
11,long,long
12,tube,tube
13,lets,let
14,someone,someon
15,point,point
16,specific,specif
17,buildings,build
18,aluminum,aluminum
19,inner,inner
20,lining,line
21,It,It
22,acts,act
23,like,like
24,satellite,satellit
25,dish,dish
26,collecting,collect
27,signals,signal
28,bouncing,bounc
29,receiver,receiv
30,wired,wire
31,laptop,laptop
32,Drop,drop
33,ground,ground
34,back,back
35,away,away
36,citizen,citizen
37,Submitted,submit
38,Optical,optic
39,Poptitude,poptitud
