,word,stem
0,Fortune,fortun
1,cookies,cooki
2,beautiful,beauti
3,things,thing
4,I,I
5,get,get
6,excited,excit
7,like,like
8,school,school
9,girl,girl
10,candy,candi
11,shop,shop
12,thought,thought
13,Fates,fate
14,contemplating,contempl
15,sending,send
16,direction,direct
17,hold,hold
18,fortunes,fortun
19,little,littl
20,paper,paper
21,notes,note
22,following,follow
23,wake,wake
24,simple,simpl
25,cracking,crack
26,cookie,cooki
27,taped,tape
28,computer,comput
29,monitor,monitor
30,one,one
31,fortune,fortun
32,reminds,remind
33,savor,savor
34,life,life
35,live,live
36,moment,moment
37,You,you
38,discover,discov
39,truth,truth
40,time,time
41,meditate,medit
42,words,word
43,every,everi
44,single,singl
45,day,day
46,searching,search
47,better,better
48,understanding,understand
49,mean,mean
50,relation,relat
51,At,At
52,first,first
53,note,note
54,message,messag
55,Godde,godd
56,ex,ex
57,boyfriend,boyfriend
58,putting,put
59,ease,eas
60,troubled,troubl
61,relationship,relationship
62,letting,let
63,know,know
64,would,would
65,overcome,overcom
66,differences,differ
67,move,move
68,forward,forward
69,together,togeth
70,How,how
71,naive,naiv
72,think,think
73,knew,knew
74,meaning,mean
75,There,there
76,moments,moment
77,feel,feel
78,rush,rush
79,learn,learn
80,everything,everyth
81,worry,worri
82,run,run
83,never,never
84,world,world
85,obsess,obsess
86,fear,fear
87,find,find
88,safe,safe
89,comfortable,comfort
90,loving,love
91,man,man
92,many,mani
93,items,item
94,occupy,occupi
95,mind,mind
96,drive,drive
97,distraction,distract
98,It,It
99,faith,faith
100,love,love
101,allows,allow
102,take,take
103,deep,deep
104,breath,breath
105,force,forc
106,thoughts,thought
107,remind,remind
108,plan,plan
109,purpose,purpos
110,Despite,despit
111,presence,presenc
112,fears,fear
113,grounded,ground
114,point,point
115,wonderful,wonder
116,job,job
117,career,career
118,goals,goal
119,future,futur
120,come,come
121,full,full
122,circle,circl
123,return,return
124,surrounded,surround
125,incredible,incred
126,support,support
127,network,network
128,family,famili
129,friends,friend
130,go,go
131,church,church
132,place,place
133,encouraged,encourag
134,instead,instead
135,blindly,blindli
136,accepting,accept
137,doctrine,doctrin
138,cat,cat
139,adores,ador
140,Truly,truli
141,blessed,bless
142,woman,woman
