,word,stem
0,urlLink,urllink
1,The,the
2,Pope,pope
3,collusion,collus
4,God,god
5,accused,accus
6,trying,tri
7,delay,delay
8,carnage,carnag
9,Baghdad,baghdad
10,whipping,whip
11,serious,seriou
12,sandstorms,sandstorm
13,According,accord
14,Unidentified,unidentifi
15,Pentagon,pentagon
16,Spokesman,spokesman
17,indeed,inde
18,made,made
19,contact,contact
20,Godbut,godbut
21,fortunately,fortun
22,able,abl
23,jam,jam
24,signals,signal
25,Two,two
26,could,could
27,damage,damag
28,freedom,freedom
29,Unfortunately,unfortun
30,unable,unabl
31,trace,trace
32,exact,exact
33,coordinates,coordin
34,However,howev
35,send,send
36,precise,precis
37,smart,smart
38,bombs,bomb
39,general,gener
40,direction,direct
41,Also,also
42,War,war
43,theresireis,theresirei
44,ummmgood,ummmgood
45,via,via
