,word,stem
0,posts,post
1,ent,ent
2,thru,thru
3,vaycay,vaycay
4,wierd,wierd
5,showed,show
6,successful,success
7,emails,email
8,bloody,bloodi
9,pager,pager
10,blah,blah
11,balh,balh
12,cheated,cheat
13,blood,blood
14,sugar,sugar
15,okay,okay
16,part,part
17,I,I
18,get,get
19,mind,mind
20,set,set
21,need,need
22,100,100
23,regular,regular
24,checks,check
25,mom,mom
26,dad,dad
27,cool,cool
28,110,110
29,108,108
30,30,30
31,day,day
32,average,averag
33,120,120
34,thats,that
35,grand,grand
36,going,go
37,register,regist
38,new,new
39,domain,domain
40,multi,multi
41,blog,blog
42,side,side
43,daily,daili
44,carb,carb
45,counts,count
46,et,et
47,al,al
48,cost,cost
49,80,80
50,bucks,buck
51,2,2
52,year,year
53,reg,reg
54,1,1
55,hosting,host
56,logjamming,logjam
57,com,com
58,yay,yay
59,tuned,tune
60,change,chang
61,main,main
62,goal,goal
63,right,right
64,getting,get
65,house,hous
66,order,order
67,keeping,keep
68,sugars,sugar
69,low,low
70,horizon,horizon
71,pay,pay
72,west,west
73,la,la
74,ticket,ticket
75,ians,ian
76,sleep,sleep
77,away,away
78,camp,camp
79,car,car
80,registration,registr
81,ins,in
82,looming,loom
83,fore,fore
84,bought,bought
85,clothes,cloth
86,make,make
87,hey,hey
88,natural,natur
89,high,high
90,costco,costco
